iter	RMSE
0	19.55268654
1	18.80144108
2	18.048879
3	17.33029689
4	16.64618876
5	16.00010477
6	15.36807722
7	14.74479397
8	14.18096257
9	13.65350567
10	13.12194272
11	12.61138433
12	12.13701612
13	11.71670503
14	11.26747661
15	10.84473688
16	10.42020848
17	10.02644905
18	9.640343004
19	9.286480578
20	8.942418258
21	8.62038262
22	8.298552105
23	7.995139555
24	7.699942072
25	7.419189478
26	7.164776985
27	6.91839588
28	6.673865551
29	6.449986976
30	6.237150255
31	6.046223345
32	5.829677669
33	5.634311109
34	5.443420374
35	5.25395093
36	5.081771074
37	4.916800181
38	4.76368562
39	4.611520885
40	4.465166352
41	4.331753184
42	4.204050032
43	4.074979746
44	3.951472312
45	3.832874172
46	3.725628526
47	3.614643534
48	3.50774581
49	3.401346252
50	3.313289724
51	3.22009824
52	3.12986362
53	3.048494884
54	2.963090641
55	2.884099506
56	2.816534103
57	2.747744377
58	2.680198603
59	2.617816628
60	2.555230189
61	2.499484844
62	2.441382452
63	2.386147442
64	2.33187223
65	2.282165817
66	2.240871929
67	2.195656289
68	2.153090451
69	2.114153268
70	2.076398563
71	2.042479225
72	2.008835971
73	1.973009758
74	1.939074245
75	1.910463159
76	1.882770994
77	1.850878324
78	1.82396121
79	1.797704879
80	1.774535624
81	1.748701711
82	1.726141361
83	1.703089399
84	1.682380801
85	1.664642478
86	1.646647978
87	1.627571675
88	1.610211408
89	1.592990566
90	1.574148222
91	1.560086117
92	1.543614394
93	1.528963049
94	1.516276654
95	1.504395581
96	1.492758321
97	1.478355578
98	1.464592776
99	1.453812794
