iter	Passed	Remaining
0	174	17301
1	185	9107
2	207	6705
3	223	5364
4	241	4593
5	253	3970
6	272	3622
7	286	3295
8	309	3129
9	324	2916
10	338	2738
11	356	2612
12	380	2546
13	403	2477
14	422	2391
15	431	2264
16	457	2235
17	489	2228
18	512	2184
19	529	2117
20	542	2041
21	559	1982
22	571	1914
23	591	1872
24	606	1818
25	628	1788
26	652	1764
27	668	1720
28	681	1669
29	698	1630
30	714	1589
31	734	1560
32	763	1549
33	777	1510
34	791	1469
35	808	1436
36	829	1412
37	855	1395
38	874	1368
39	892	1338
40	909	1308
41	923	1274
42	942	1249
43	967	1231
44	1001	1224
45	1015	1191
46	1032	1164
47	1057	1145
48	1085	1129
49	1107	1107
50	1125	1080
51	1150	1061
52	1167	1034
53	1182	1007
54	1193	976
55	1214	953
56	1236	932
57	1254	908
58	1269	881
59	1295	863
60	1315	841
61	1336	819
62	1355	796
63	1370	770
64	1394	751
65	1412	727
66	1432	705
67	1458	686
68	1479	664
69	1507	646
70	1529	624
71	1550	603
72	1564	578
73	1578	554
74	1591	530
75	1617	510
76	1639	489
77	1660	468
78	1675	445
79	1693	423
80	1710	401
81	1735	380
82	1760	360
83	1773	337
84	1796	317
85	1823	296
86	1845	275
87	1858	253
88	1872	231
89	1891	210
90	1907	188
91	1922	167
92	1951	146
93	1973	125
94	1992	104
95	2010	83
96	2027	62
97	2056	41
98	2072	20
99	2089	0
